NZ_CP021325_1_CA173_RS08795	AL157959_1_NMA1163	45.7
NZ_CP021325_1_CA173_RS06485	AL157959_1_NMA0849	41.4
NZ_CP021325_1_CA173_RS14175	AL157959_1_NMA0129	47.4
NZ_CP021325_1_CA173_RS01875	AL157959_1_NMA0281	44.1
NZ_CP021325_1_CA173_RS01350	AL157959_1_NMA1730	29.4
NZ_CP021325_1_CA173_RS13660	AL157959_1_NMA0985	57.0
NZ_CP021325_1_CA173_RS13680	AL157959_1_NMA1912	30.8
NZ_CP021325_1_CA173_RS12445	AL157959_1_NMA1293	35.5
NZ_CP021325_1_CA173_RS14040	AL157959_1_NMA0103	42.9
NZ_CP021325_1_CA173_RS01220	AL157959_1_NMA0347	45.2
NZ_CP021325_1_CA173_RS11185	AL157959_1_NMA0661	38.9
NZ_CP021325_1_CA173_RS08305	AL157959_1_NMA0345	47.6
NZ_CP021325_1_CA173_RS11685	AL157959_1_NMA0387	33.0
NZ_CP021325_1_CA173_RS13370	AL157959_1_NMA0947	31.0
NZ_CP021325_1_CA173_RS00390	AL157959_1_NMA1944	33.2
NZ_CP021325_1_CA173_RS08415	AL157959_1_NMA0929	45.0
NZ_CP021325_1_CA173_RS00210	AL157959_1_NMA1250	53.3
NZ_CP021325_1_CA173_RS00210	AL157959_1_NMA1948	26.1
NZ_CP021325_1_CA173_RS05575	AL157959_1_NMA0817	22.6
NZ_CP021325_1_CA173_RS15585	AL157959_1_NMA0257	44.2
NZ_CP021325_1_CA173_RS07235	AL157959_1_NMA1588	39.2
NZ_CP021325_1_CA173_RS15065	AL157959_1_NMA0076	50.4
NZ_CP021325_1_CA173_RS13705	AL157959_1_NMA1395	38.6
NZ_CP021325_1_CA173_RS12830	AL157959_1_NMA0002	31.2
NZ_CP021325_1_CA173_RS10035	AL157959_1_NMA0789	27.8
NZ_CP021325_1_CA173_RS15245	AL157959_1_NMA1894	49.7
NZ_CP021325_1_CA173_RS08080	AL157959_1_NMA0978	48.5
NZ_CP021325_1_CA173_RS09845	AL157959_1_NMA0542	39.9
NZ_CP021325_1_CA173_RS08775	AL157959_1_NMA0904	61.8
NZ_CP021325_1_CA173_RS07990	AL157959_1_NMA0864	33.7
NZ_CP021325_1_CA173_RS07990	AL157959_1_NMA2108	26.8
NZ_CP021325_1_CA173_RS07090	AL157959_1_NMA2128	35.2
NZ_CP021325_1_CA173_RS10720	AL157959_1_NMA1361	43.5
NZ_CP021325_1_CA173_RS10720	AL157959_1_NMA1610	30.5
NZ_CP021325_1_CA173_RS01145	AL157959_1_NMA1633	36.4
NZ_CP021325_1_CA173_RS13245	AL157959_1_NMA0246	73.5
NZ_CP021325_1_CA173_RS13245	AL157959_1_NMA0062	48.1
NZ_CP021325_1_CA173_RS07415	AL157959_1_NMA2226	38.8
NZ_CP021325_1_CA173_RS07050	AL157959_1_NMA2202	33.5
NZ_CP021325_1_CA173_RS07050	AL157959_1_NMA0619	31.7
NZ_CP021325_1_CA173_RS03045	AL157959_1_NMA1136	41.4
NZ_CP021325_1_CA173_RS06965	AL157959_1_NMA0156	44.9
NZ_CP021325_1_CA173_RS10330	AL157959_1_NMA1053	35.7
NZ_CP021325_1_CA173_RS10330	AL157959_1_NMA1410	29.1
NZ_CP021325_1_CA173_RS01870	AL157959_1_NMA0280	23.1
NZ_CP021325_1_CA173_RS14160	AL157959_1_NMA0126	60.9
NZ_CP021325_1_CA173_RS07160	AL157959_1_NMA0326	54.1
NZ_CP021325_1_CA173_RS15035	AL157959_1_NMA0050	42.8
NZ_CP021325_1_CA173_RS13540	AL157959_1_NMA0240	37.7
NZ_CP021325_1_CA173_RS11975	AL157959_1_NMA1670	52.1
NZ_CP021325_1_CA173_RS11975	AL157959_1_NMA1459	35.9
NZ_CP021325_1_CA173_RS14825	AL157959_1_NMA1943	51.3
NZ_CP021325_1_CA173_RS08225	AL157959_1_NMA2028	30.5
NZ_CP021325_1_CA173_RS08135	AL157959_1_NMA1788	43.5
NZ_CP021325_1_CA173_RS05275	AL157959_1_NMA2168	28.9
NZ_CP021325_1_CA173_RS05275	AL157959_1_NMA1647	28.5
NZ_CP021325_1_CA173_RS13825	AL157959_1_NMA0244	49.8
NZ_CP021325_1_CA173_RS13635	AL157959_1_NMA0513	26.5
NZ_CP021325_1_CA173_RS07620	AL157959_1_NMA0247	39.3
NZ_CP021325_1_CA173_RS08790	AL157959_1_NMA1164	39.0
NZ_CP021325_1_CA173_RS10760	AL157959_1_NMA1096	42.7
NZ_CP021325_1_CA173_RS14555	AL157959_1_NMA0869	36.2
NZ_CP021325_1_CA173_RS00175	AL157959_1_NMA0276	22.6
NZ_CP021325_1_CA173_RS11875	AL157959_1_NMA1801	67.8
NZ_CP021325_1_CA173_RS08800	AL157959_1_NMA1247	40.2
NZ_CP021325_1_CA173_RS08800	AL157959_1_NMA0477	33.3
NZ_CP021325_1_CA173_RS09610	AL157959_1_NMA1421	50.7
NZ_CP021325_1_CA173_RS09940	AL157959_1_NMA0916	32.0
NZ_CP021325_1_CA173_RS07860	AL157959_1_NMA0624	37.5
NZ_CP021325_1_CA173_RS02850	AL157959_1_NMA0222	38.0
NZ_CP021325_1_CA173_RS07970	AL157959_1_NMA0209	45.0
NZ_CP021325_1_CA173_RS09825	AL157959_1_NMA0888	35.1
NZ_CP021325_1_CA173_RS13225	AL157959_1_NMA1495	63.7
NZ_CP021325_1_CA173_RS11910	AL157959_1_NMA0991	38.8
NZ_CP021325_1_CA173_RS09570	AL157959_1_NMA0027	37.0
NZ_CP021325_1_CA173_RS09570	AL157959_1_NMA1660	39.8
NZ_CP021325_1_CA173_RS13475	AL157959_1_NMA2172	40.8
NZ_CP021325_1_CA173_RS12610	AL157959_1_NMA0098	25.3
NZ_CP021325_1_CA173_RS07405	AL157959_1_NMA1575	40.6
NZ_CP021325_1_CA173_RS07205	AL157959_1_NMA1896	37.8
NZ_CP021325_1_CA173_RS10485	AL157959_1_NMA0375	36.7
NZ_CP021325_1_CA173_RS07895	AL157959_1_NMA0523	33.9
NZ_CP021325_1_CA173_RS10750	AL157959_1_NMA1450	55.8
NZ_CP021325_1_CA173_RS10695	AL157959_1_NMA1609	40.3
NZ_CP021325_1_CA173_RS07875	AL157959_1_NMA1737	53.2
NZ_CP021325_1_CA173_RS07875	AL157959_1_NMA1737	33.9
NZ_CP021325_1_CA173_RS07875	AL157959_1_NMA0917	34.7
NZ_CP021325_1_CA173_RS01270	AL157959_1_NMA0145	54.1
NZ_CP021325_1_CA173_RS00985	AL157959_1_NMA0284	40.2
NZ_CP021325_1_CA173_RS08785	AL157959_1_NMA2212	39.8
NZ_CP021325_1_CA173_RS15580	AL157959_1_NMA0570	37.2
NZ_CP021325_1_CA173_RS10980	AL157959_1_NMA2062	30.7
NZ_CP021325_1_CA173_RS07340	AL157959_1_NMA0758	40.7
NZ_CP021325_1_CA173_RS05780	AL157959_1_NMA0188	65.3
NZ_CP021325_1_CA173_RS05780	AL157959_1_NMA0205	65.3
NZ_CP021325_1_CA173_RS00005	AL157959_1_NMA0552	48.8
NZ_CP021325_1_CA173_RS00275	AL157959_1_NMA1024	47.2
NZ_CP021325_1_CA173_RS13610	AL157959_1_NMA0518	35.5
NZ_CP021325_1_CA173_RS15595	AL157959_1_NMA1483	39.9
NZ_CP021325_1_CA173_RS08160	AL157959_1_NMA1401	25.7
NZ_CP021325_1_CA173_RS11195	AL157959_1_NMA0585	31.8
NZ_CP021325_1_CA173_RS07595	AL157959_1_NMA1658	61.4
NZ_CP021325_1_CA173_RS13515	AL157959_1_NMA2217	24.7
NZ_CP021325_1_CA173_RS08610	AL157959_1_NMA0104	47.3
NZ_CP021325_1_CA173_RS10180	AL157959_1_NMA0617	58.3
NZ_CP021325_1_CA173_RS03960	AL157959_1_NMA0621	27.0
NZ_CP021325_1_CA173_RS09960	AL157959_1_NMA1033	42.9
NZ_CP021325_1_CA173_RS08365	AL157959_1_NMA1448	33.5
NZ_CP021325_1_CA173_RS05790	AL157959_1_NMA0189	50.8
NZ_CP021325_1_CA173_RS05790	AL157959_1_NMA0204	50.8
NZ_CP021325_1_CA173_RS05790	AL157959_1_NMA1037	25.5
NZ_CP021325_1_CA173_RS02895	AL157959_1_NMA0839	43.0
NZ_CP021325_1_CA173_RS02895	AL157959_1_NMA0838	31.2
NZ_CP021325_1_CA173_RS08625	AL157959_1_NMA0620	49.0
NZ_CP021325_1_CA173_RS14870	AL157959_1_NMA0156	26.0
NZ_CP021325_1_CA173_RS01320	AL157959_1_NMA0141	46.2
NZ_CP021325_1_CA173_RS01215	AL157959_1_NMA0742	37.6
NZ_CP021325_1_CA173_RS09000	AL157959_1_NMA1482	30.5
NZ_CP021325_1_CA173_RS09000	AL157959_1_NMA1743	30.9
NZ_CP021325_1_CA173_RS08575	AL157959_1_NMA0435	39.6
NZ_CP021325_1_CA173_RS09030	AL157959_1_NMA1139	18.9
NZ_CP021325_1_CA173_RS09550	AL157959_1_NMA1568	46.7
NZ_CP021325_1_CA173_RS14880	AL157959_1_NMA1372	54.0
NZ_CP021325_1_CA173_RS13325	AL157959_1_NMA0948	37.6
NZ_CP021325_1_CA173_RS08400	AL157959_1_NMA0718	45.1
NZ_CP021325_1_CA173_RS06880	AL157959_1_NMA1267	48.0
NZ_CP021325_1_CA173_RS11315	AL157959_1_NMA1965	37.3
NZ_CP021325_1_CA173_RS04375	AL157959_1_NMA1786	34.0
NZ_CP021325_1_CA173_RS14170	AL157959_1_NMA0128	37.4
NZ_CP021325_1_CA173_RS00665	AL157959_1_NMA1372	33.4
NZ_CP021325_1_CA173_RS01190	AL157959_1_NMA0992	48.6
