NZ_CP082327_1_K6983_RS12545	AL645882_2_SCO1391	30.1
NZ_CP082327_1_K6983_RS05530	AL645882_2_SCO3012	28.5
NZ_CP082327_1_K6983_RS05530	AL645882_2_SCO4021	29.6
NZ_CP082327_1_K6983_RS06580	AL645882_2_SCO5361	34.8
NZ_CP082327_1_K6983_RS03295	AL645882_2_SCO6187	35.8
NZ_CP082327_1_K6983_RS20705	AL645882_2_SCO6110	32.7
NZ_CP082327_1_K6983_RS20705	AL645882_2_SCO4285	26.4
NZ_CP082327_1_K6983_RS20705	AL645882_2_SCO1060	33.6
NZ_CP082327_1_K6983_RS13270	AL645882_2_SCO5515	26.1
NZ_CP082327_1_K6983_RS13270	AL645882_2_SCO0348	35.7
NZ_CP082327_1_K6983_RS15040	AL645882_2_SCO5281	47.2
NZ_CP082327_1_K6983_RS03350	AL645882_2_SCO1441	51.0
NZ_CP082327_1_K6983_RS19000	AL645882_2_SCO5064	26.3
NZ_CP082327_1_K6983_RS01080	AL645882_2_SCO4919	25.7
NZ_CP082327_1_K6983_RS04985	AL645882_2_SCO5769	66.9
NZ_CP082327_1_K6983_RS05525	AL645882_2_SCO4079	25.8
NZ_CP082327_1_K6983_RS17315	AL645882_2_SCO0816	39.5
NZ_CP082327_1_K6983_RS01740	AL645882_2_SCO1553	31.5
NZ_CP082327_1_K6983_RS01740	AL645882_2_SCO3317	29.4
NZ_CP082327_1_K6983_RS01740	AL645882_2_SCO1853	26.9
NZ_CP082327_1_K6983_RS00430	AL645882_2_SCO2988	22.6
NZ_CP082327_1_K6983_RS22480	AL645882_2_SCO5373	62.1
NZ_CP082327_1_K6983_RS19855	AL645882_2_SCO1487	34.0
NZ_CP082327_1_K6983_RS18360	AL645882_2_SCO2445	36.7
NZ_CP082327_1_K6983_RS12160	AL645882_2_SCO1768	37.4
NZ_CP082327_1_K6983_RS22120	AL645882_2_SCO7343	42.1
NZ_CP082327_1_K6983_RS22120	AL645882_2_SCO3318	39.6
NZ_CP082327_1_K6983_RS04130	AL645882_2_SCO0691	28.9
NZ_CP082327_1_K6983_RS04130	AL645882_2_SCO1132	27.3
NZ_CP082327_1_K6983_RS11150	AL645882_2_SCO0808	33.5
NZ_CP082327_1_K6983_RS11150	AL645882_2_SCO0449	33.1
NZ_CP082327_1_K6983_RS16715	AL645882_2_SCO7234	44.5
NZ_CP082327_1_K6983_RS16715	AL645882_2_SCO2155	42.7
NZ_CP082327_1_K6983_RS01435	AL645882_2_SCO7338	46.6
NZ_CP082327_1_K6983_RS01435	AL645882_2_SCO5456	46.9
