NZ_CP082327_1_K6983_RS13060	NZ_CP092971_1_MML47_RS11885	38.3
NZ_CP082327_1_K6983_RS21325	NZ_CP092971_1_MML47_RS20385	43.2
NZ_CP082327_1_K6983_RS12545	NZ_CP092971_1_MML47_RS06480	29.2
NZ_CP082327_1_K6983_RS05530	NZ_CP092971_1_MML47_RS01875	27.4
NZ_CP082327_1_K6983_RS07875	NZ_CP092971_1_MML47_RS21560	24.5
NZ_CP082327_1_K6983_RS05605	NZ_CP092971_1_MML47_RS10165	30.0
NZ_CP082327_1_K6983_RS05605	NZ_CP092971_1_MML47_RS01600	25.1
NZ_CP082327_1_K6983_RS06580	NZ_CP092971_1_MML47_RS14705	49.2
NZ_CP082327_1_K6983_RS15470	NZ_CP092971_1_MML47_RS07290	34.8
NZ_CP082327_1_K6983_RS18805	NZ_CP092971_1_MML47_RS03490	58.5
NZ_CP082327_1_K6983_RS03800	NZ_CP092971_1_MML47_RS16090	56.5
NZ_CP082327_1_K6983_RS13270	NZ_CP092971_1_MML47_RS10135	33.1
NZ_CP082327_1_K6983_RS13415	NZ_CP092971_1_MML47_RS03630	26.2
NZ_CP082327_1_K6983_RS15040	NZ_CP092971_1_MML47_RS08345	56.4
NZ_CP082327_1_K6983_RS10115	NZ_CP092971_1_MML47_RS01185	29.5
NZ_CP082327_1_K6983_RS06335	NZ_CP092971_1_MML47_RS03665	31.1
NZ_CP082327_1_K6983_RS01080	NZ_CP092971_1_MML47_RS07875	45.7
NZ_CP082327_1_K6983_RS04655	NZ_CP092971_1_MML47_RS05315	50.1
NZ_CP082327_1_K6983_RS14515	NZ_CP092971_1_MML47_RS16040	36.9
NZ_CP082327_1_K6983_RS20225	NZ_CP092971_1_MML47_RS17220	32.8
NZ_CP082327_1_K6983_RS04985	NZ_CP092971_1_MML47_RS09425	67.7
NZ_CP082327_1_K6983_RS05525	NZ_CP092971_1_MML47_RS18405	51.6
NZ_CP082327_1_K6983_RS16255	NZ_CP092971_1_MML47_RS17780	47.9
NZ_CP082327_1_K6983_RS01740	NZ_CP092971_1_MML47_RS05260	54.1
NZ_CP082327_1_K6983_RS01740	NZ_CP092971_1_MML47_RS11595	39.7
NZ_CP082327_1_K6983_RS00370	NZ_CP092971_1_MML47_RS04580	45.6
NZ_CP082327_1_K6983_RS21160	NZ_CP092971_1_MML47_RS01910	37.5
NZ_CP082327_1_K6983_RS22480	NZ_CP092971_1_MML47_RS18855	80.7
NZ_CP082327_1_K6983_RS18360	NZ_CP092971_1_MML47_RS15135	67.2
NZ_CP082327_1_K6983_RS12160	NZ_CP092971_1_MML47_RS12575	49.7
NZ_CP082327_1_K6983_RS12160	NZ_CP092971_1_MML47_RS07555	29.5
NZ_CP082327_1_K6983_RS12160	NZ_CP092971_1_MML47_RS00455	36.7
NZ_CP082327_1_K6983_RS22120	NZ_CP092971_1_MML47_RS02715	55.3
NZ_CP082327_1_K6983_RS14470	NZ_CP092971_1_MML47_RS01425	38.1
NZ_CP082327_1_K6983_RS16715	NZ_CP092971_1_MML47_RS05865	70.5
NZ_CP082327_1_K6983_RS16715	NZ_CP092971_1_MML47_RS01310	39.9
NZ_CP082327_1_K6983_RS01435	NZ_CP092971_1_MML47_RS05555	49.7
NZ_CP082327_1_K6983_RS01435	NZ_CP092971_1_MML47_RS19430	51.6
NZ_CP082327_1_K6983_RS10430	NZ_CP092971_1_MML47_RS08600	72.6
NZ_CP082327_1_K6983_RS17975	NZ_CP092971_1_MML47_RS12050	31.2
NZ_CP082327_1_K6983_RS08850	NZ_CP092971_1_MML47_RS19090	38.2
NZ_CP082327_1_K6983_RS08850	NZ_CP092971_1_MML47_RS10490	26.4
NZ_CP082327_1_K6983_RS06965	NZ_CP092971_1_MML47_RS15790	32.9
NZ_CP082327_1_K6983_RS19285	NZ_CP092971_1_MML47_RS10015	32.5
NZ_CP082327_1_K6983_RS07725	NZ_CP092971_1_MML47_RS09520	46.6
NZ_CP082327_1_K6983_RS01640	NZ_CP092971_1_MML47_RS06315	48.6
NZ_CP082327_1_K6983_RS18310	NZ_CP092971_1_MML47_RS18495	56.2
NZ_CP082327_1_K6983_RS18845	NZ_CP092971_1_MML47_RS04745	22.5
NZ_CP082327_1_K6983_RS03235	NZ_CP092971_1_MML47_RS01405	66.1
NZ_CP082327_1_K6983_RS15025	NZ_CP092971_1_MML47_RS05655	72.2
NZ_CP082327_1_K6983_RS08085	NZ_CP092971_1_MML47_RS10085	63.3
NZ_CP082327_1_K6983_RS00765	NZ_CP092971_1_MML47_RS00600	75.3
NZ_CP082327_1_K6983_RS10895	NZ_CP092971_1_MML47_RS17675	30.5
NZ_CP082327_1_K6983_RS09420	NZ_CP092971_1_MML47_RS22165	34.3
NZ_CP082327_1_K6983_RS15520	NZ_CP092971_1_MML47_RS02930	61.1
NZ_CP082327_1_K6983_RS20495	NZ_CP092971_1_MML47_RS11185	28.6
NZ_CP082327_1_K6983_RS09275	NZ_CP092971_1_MML47_RS16105	41.5
NZ_CP082327_1_K6983_RS17815	NZ_CP092971_1_MML47_RS19090	37.3
NZ_CP082327_1_K6983_RS21155	NZ_CP092971_1_MML47_RS06305	59.5
NZ_CP082327_1_K6983_RS07000	NZ_CP092971_1_MML47_RS09575	29.6
NZ_CP082327_1_K6983_RS07000	NZ_CP092971_1_MML47_RS00705	23.8
NZ_CP082327_1_K6983_RS16500	NZ_CP092971_1_MML47_RS04740	40.4
NZ_CP082327_1_K6983_RS06650	NZ_CP092971_1_MML47_RS14640	65.1
NZ_CP082327_1_K6983_RS11485	NZ_CP092971_1_MML47_RS03895	30.9
NZ_CP082327_1_K6983_RS00735	NZ_CP092971_1_MML47_RS00680	51.6
NZ_CP082327_1_K6983_RS00735	NZ_CP092971_1_MML47_RS09610	51.4
NZ_CP082327_1_K6983_RS03380	NZ_CP092971_1_MML47_RS04585	33.6
NZ_CP082327_1_K6983_RS06640	NZ_CP092971_1_MML47_RS14670	54.6
NZ_CP082327_1_K6983_RS05075	NZ_CP092971_1_MML47_RS01955	53.1
NZ_CP082327_1_K6983_RS19035	NZ_CP092971_1_MML47_RS03850	29.3
NZ_CP082327_1_K6983_RS05555	NZ_CP092971_1_MML47_RS03270	68.5
NZ_CP082327_1_K6983_RS03290	NZ_CP092971_1_MML47_RS02425	40.0
NZ_CP082327_1_K6983_RS17020	NZ_CP092971_1_MML47_RS20690	44.7
NZ_CP082327_1_K6983_RS20380	NZ_CP092971_1_MML47_RS12865	49.2
NZ_CP082327_1_K6983_RS20245	NZ_CP092971_1_MML47_RS12995	42.6
NZ_CP082327_1_K6983_RS06920	NZ_CP092971_1_MML47_RS08610	36.0
NZ_CP082327_1_K6983_RS06920	NZ_CP092971_1_MML47_RS15635	24.0
NZ_CP082327_1_K6983_RS21995	NZ_CP092971_1_MML47_RS21830	26.6
NZ_CP082327_1_K6983_RS07670	NZ_CP092971_1_MML47_RS15240	53.6
NZ_CP082327_1_K6983_RS02635	NZ_CP092971_1_MML47_RS05820	60.9
NZ_CP082327_1_K6983_RS20185	NZ_CP092971_1_MML47_RS06340	34.1
NZ_CP082327_1_K6983_RS12655	NZ_CP092971_1_MML47_RS16860	35.3
NZ_CP082327_1_K6983_RS18125	NZ_CP092971_1_MML47_RS06180	27.8
NZ_CP082327_1_K6983_RS18125	NZ_CP092971_1_MML47_RS11075	27.2
NZ_CP082327_1_K6983_RS21660	NZ_CP092971_1_MML47_RS13460	44.6
NZ_CP082327_1_K6983_RS01660	NZ_CP092971_1_MML47_RS18725	39.6
NZ_CP082327_1_K6983_RS01660	NZ_CP092971_1_MML47_RS12840	33.9
NZ_CP082327_1_K6983_RS01660	NZ_CP092971_1_MML47_RS05230	26.1
NZ_CP082327_1_K6983_RS11480	NZ_CP092971_1_MML47_RS00285	41.2
NZ_CP082327_1_K6983_RS11480	NZ_CP092971_1_MML47_RS16515	23.9
NZ_CP082327_1_K6983_RS01360	NZ_CP092971_1_MML47_RS13700	39.3
NZ_CP082327_1_K6983_RS03115	NZ_CP092971_1_MML47_RS22560	58.4
NZ_CP082327_1_K6983_RS19150	NZ_CP092971_1_MML47_RS10215	40.3
