CP001037_1_Npun_F6100	AL157959_1_NMA1159	54.9
CP001037_1_Npun_F1023	AL157959_1_NMA0870	45.8
CP001037_1_Npun_F2857	AL157959_1_NMA2190	49.9
CP001037_1_Npun_F2857	AL157959_1_NMA0291	29.5
CP001037_1_Npun_F6223	AL157959_1_NMA0507	42.1
CP001037_1_Npun_F5825	AL157959_1_NMA0793	43.2
CP001037_1_Npun_R5547	AL157959_1_NMA0018	48.4
CP001037_1_Npun_F2808	AL157959_1_NMA1245	25.1
CP001037_1_Npun_F0098	AL157959_1_NMA0542	37.3
CP001037_1_Npun_R5675	AL157959_1_NMA1185	35.8
CP001037_1_Npun_R5675	AL157959_1_NMA0733	36.9
CP001037_1_Npun_F4985	AL157959_1_NMA0142	42.9
CP001037_1_Npun_F4521	AL157959_1_NMA1559	31.8
CP001037_1_Npun_R4390	AL157959_1_NMA0129	50.2
CP001037_1_Npun_F4459	AL157959_1_NMA1053	30.7
CP001037_1_Npun_F5459	AL157959_1_NMA0374	34.2
CP001037_1_Npun_F1592	AL157959_1_NMA1175	46.8
CP001037_1_Npun_R4982	AL157959_1_NMA1770	45.2
CP001037_1_Npun_R6401	AL157959_1_NMA1448	32.9
CP001037_1_Npun_F0856	AL157959_1_NMA1371	26.9
CP001037_1_Npun_F0001	AL157959_1_NMA0552	39.9
CP001037_1_Npun_F4803	AL157959_1_NMA1747	36.5
CP001037_1_Npun_R5787	AL157959_1_NMA0992	45.1
CP001037_1_Npun_R4193	AL157959_1_NMA1088	44.7
CP001037_1_Npun_F4024	AL157959_1_NMA2136	39.5
CP001037_1_Npun_R3508	AL157959_1_NMA1495	62.3
CP001037_1_Npun_R5569	AL157959_1_NMA0327	39.4
CP001037_1_Npun_F2391	AL157959_1_NMA1888	28.3
CP001037_1_Npun_R4665	AL157959_1_NMA1679	26.3
CP001037_1_Npun_R4911	AL157959_1_NMA1092	31.1
CP001037_1_Npun_F6136	AL157959_1_NMA0326	56.7
CP001037_1_Npun_F0271	AL157959_1_NMA2217	25.5
CP001037_1_Npun_F3458	AL157959_1_NMA2019	52.3
CP001037_1_Npun_F5008	AL157959_1_NMA0650	28.0
CP001037_1_Npun_F5444	AL157959_1_NMA1744	40.8
CP001037_1_Npun_F2914	AL157959_1_NMA1658	61.2
CP001037_1_Npun_F0907	AL157959_1_NMA0284	38.6
CP001037_1_Npun_R1026	AL157959_1_NMA2180	50.6
CP001037_1_Npun_F2374	AL157959_1_NMA1093	50.6
CP001037_1_Npun_R5387	AL157959_1_NMA2128	54.6
CP001037_1_Npun_F0851	AL157959_1_NMA1585	55.8
