NZ_CP082327_1_K6983_RS18805	NZ_CP034122_1_EIB18_RS10545	44.6
NZ_CP082327_1_K6983_RS06650	NZ_CP034122_1_EIB18_RS18770	49.1
NZ_CP082327_1_K6983_RS04625	NZ_CP034122_1_EIB18_RS03890	31.5
NZ_CP082327_1_K6983_RS19975	NZ_CP034122_1_EIB18_RS15990	20.4
NZ_CP082327_1_K6983_RS21045	NZ_CP034122_1_EIB18_RS11330	63.6
NZ_CP082327_1_K6983_RS21045	NZ_CP034122_1_EIB18_RS11340	52.0
NZ_CP082327_1_K6983_RS02825	NZ_CP034122_1_EIB18_RS00725	44.2
NZ_CP082327_1_K6983_RS22450	NZ_CP034122_1_EIB18_RS01870	26.3
NZ_CP082327_1_K6983_RS07485	NZ_CP034122_1_EIB18_RS03825	29.5
NZ_CP082327_1_K6983_RS15040	NZ_CP034122_1_EIB18_RS01710	45.0
NZ_CP082327_1_K6983_RS21995	NZ_CP034122_1_EIB18_RS02610	54.2
NZ_CP082327_1_K6983_RS13695	NZ_CP034122_1_EIB18_RS06385	31.2
NZ_CP082327_1_K6983_RS00305	NZ_CP034122_1_EIB18_RS19460	33.0
NZ_CP082327_1_K6983_RS02085	NZ_CP034122_1_EIB18_RS06795	50.9
NZ_CP082327_1_K6983_RS13810	NZ_CP034122_1_EIB18_RS08075	35.5
NZ_CP082327_1_K6983_RS15495	NZ_CP034122_1_EIB18_RS09685	26.4
NZ_CP082327_1_K6983_RS12200	NZ_CP034122_1_EIB18_RS18780	57.0
NZ_CP082327_1_K6983_RS01710	NZ_CP034122_1_EIB18_RS02290	26.2
NZ_CP082327_1_K6983_RS05720	NZ_CP034122_1_EIB18_RS18900	40.4
NZ_CP082327_1_K6983_RS05720	NZ_CP034122_1_EIB18_RS17370	31.2
NZ_CP082327_1_K6983_RS05720	NZ_CP034122_1_EIB18_RS08100	30.0
NZ_CP082327_1_K6983_RS09460	NZ_CP034122_1_EIB18_RS19750	22.5
NZ_CP082327_1_K6983_RS18420	NZ_CP034122_1_EIB18_RS10165	46.7
NZ_CP082327_1_K6983_RS18920	NZ_CP034122_1_EIB18_RS08240	47.4
NZ_CP082327_1_K6983_RS05770	NZ_CP034122_1_EIB18_RS11915	43.1
NZ_CP082327_1_K6983_RS03935	NZ_CP034122_1_EIB18_RS12590	61.0
NZ_CP082327_1_K6983_RS03935	NZ_CP034122_1_EIB18_RS16325	39.0
NZ_CP082327_1_K6983_RS03935	NZ_CP034122_1_EIB18_RS12585	26.5
NZ_CP082327_1_K6983_RS14785	NZ_CP034122_1_EIB18_RS08420	39.4
NZ_CP082327_1_K6983_RS04755	NZ_CP034122_1_EIB18_RS10605	48.2
NZ_CP082327_1_K6983_RS11885	NZ_CP034122_1_EIB18_RS11120	24.2
NZ_CP082327_1_K6983_RS03825	NZ_CP034122_1_EIB18_RS00245	49.5
NZ_CP082327_1_K6983_RS10420	NZ_CP034122_1_EIB18_RS13745	27.6
NZ_CP082327_1_K6983_RS10420	NZ_CP034122_1_EIB18_RS11060	28.6
NZ_CP082327_1_K6983_RS00295	NZ_CP034122_1_EIB18_RS08945	45.6
NZ_CP082327_1_K6983_RS00005	NZ_CP034122_1_EIB18_RS00040	37.3
NZ_CP082327_1_K6983_RS00005	NZ_CP034122_1_EIB18_RS05710	50.0
NZ_CP082327_1_K6983_RS19565	NZ_CP034122_1_EIB18_RS01620	35.0
NZ_CP082327_1_K6983_RS16845	NZ_CP034122_1_EIB18_RS08475	46.3
NZ_CP082327_1_K6983_RS18715	NZ_CP034122_1_EIB18_RS09190	33.4
NZ_CP082327_1_K6983_RS18715	NZ_CP034122_1_EIB18_RS01715	33.6
NZ_CP082327_1_K6983_RS03890	NZ_CP034122_1_EIB18_RS17230	45.1
NZ_CP082327_1_K6983_RS09045	NZ_CP034122_1_EIB18_RS10895	47.3
NZ_CP082327_1_K6983_RS14735	NZ_CP034122_1_EIB18_RS19375	39.0
NZ_CP082327_1_K6983_RS03235	NZ_CP034122_1_EIB18_RS00355	45.5
NZ_CP082327_1_K6983_RS05715	NZ_CP034122_1_EIB18_RS18905	27.2
NZ_CP082327_1_K6983_RS15650	NZ_CP034122_1_EIB18_RS03960	42.2
NZ_CP082327_1_K6983_RS15650	NZ_CP034122_1_EIB18_RS11795	25.5
NZ_CP082327_1_K6983_RS03930	NZ_CP034122_1_EIB18_RS13160	56.0
NZ_CP082327_1_K6983_RS05620	NZ_CP034122_1_EIB18_RS16545	31.4
NZ_CP082327_1_K6983_RS01130	NZ_CP034122_1_EIB18_RS07900	52.9
NZ_CP082327_1_K6983_RS18430	NZ_CP034122_1_EIB18_RS10185	51.0
NZ_CP082327_1_K6983_RS07980	NZ_CP034122_1_EIB18_RS19145	37.6
NZ_CP082327_1_K6983_RS14465	NZ_CP034122_1_EIB18_RS14040	41.5
NZ_CP082327_1_K6983_RS14465	NZ_CP034122_1_EIB18_RS12890	25.1
NZ_CP082327_1_K6983_RS14465	NZ_CP034122_1_EIB18_RS08190	28.1
NZ_CP082327_1_K6983_RS06585	NZ_CP034122_1_EIB18_RS16710	60.1
NZ_CP082327_1_K6983_RS03725	NZ_CP034122_1_EIB18_RS01915	39.0
NZ_CP082327_1_K6983_RS04995	NZ_CP034122_1_EIB18_RS13395	51.4
NZ_CP082327_1_K6983_RS13600	NZ_CP034122_1_EIB18_RS06385	32.9
NZ_CP082327_1_K6983_RS16500	NZ_CP034122_1_EIB18_RS06800	37.8
NZ_CP082327_1_K6983_RS16520	NZ_CP034122_1_EIB18_RS01350	43.5
NZ_CP082327_1_K6983_RS00810	NZ_CP034122_1_EIB18_RS01025	40.7
NZ_CP082327_1_K6983_RS12110	NZ_CP034122_1_EIB18_RS19395	63.5
NZ_CP082327_1_K6983_RS12110	NZ_CP034122_1_EIB18_RS00995	33.8
NZ_CP082327_1_K6983_RS21110	NZ_CP034122_1_EIB18_RS00435	53.6
NZ_CP082327_1_K6983_RS03285	NZ_CP034122_1_EIB18_RS18635	38.0
NZ_CP082327_1_K6983_RS02605	NZ_CP034122_1_EIB18_RS12465	51.2
NZ_CP082327_1_K6983_RS15030	NZ_CP034122_1_EIB18_RS01700	55.4
NZ_CP082327_1_K6983_RS04955	NZ_CP034122_1_EIB18_RS17915	30.0
NZ_CP082327_1_K6983_RS03225	NZ_CP034122_1_EIB18_RS16160	38.9
NZ_CP082327_1_K6983_RS08005	NZ_CP034122_1_EIB18_RS16815	29.9
NZ_CP082327_1_K6983_RS08080	NZ_CP034122_1_EIB18_RS02480	47.8
NZ_CP082327_1_K6983_RS08080	NZ_CP034122_1_EIB18_RS19775	39.1
NZ_CP082327_1_K6983_RS12520	NZ_CP034122_1_EIB18_RS02595	57.1
NZ_CP082327_1_K6983_RS04330	NZ_CP034122_1_EIB18_RS02660	39.9
NZ_CP082327_1_K6983_RS16685	NZ_CP034122_1_EIB18_RS10415	63.0
NZ_CP082327_1_K6983_RS13190	NZ_CP034122_1_EIB18_RS10710	38.3
NZ_CP082327_1_K6983_RS06820	NZ_CP034122_1_EIB18_RS10310	39.2
NZ_CP082327_1_K6983_RS22030	NZ_CP034122_1_EIB18_RS18330	40.9
NZ_CP082327_1_K6983_RS18440	NZ_CP034122_1_EIB18_RS10195	56.4
NZ_CP082327_1_K6983_RS13775	NZ_CP034122_1_EIB18_RS13150	44.6
NZ_CP082327_1_K6983_RS20160	NZ_CP034122_1_EIB18_RS00405	27.8
NZ_CP082327_1_K6983_RS20160	NZ_CP034122_1_EIB18_RS02200	25.9
NZ_CP082327_1_K6983_RS13800	NZ_CP034122_1_EIB18_RS06360	51.0
NZ_CP082327_1_K6983_RS03260	NZ_CP034122_1_EIB18_RS12955	42.4
NZ_CP082327_1_K6983_RS14635	NZ_CP034122_1_EIB18_RS00145	31.5
NZ_CP082327_1_K6983_RS07005	NZ_CP034122_1_EIB18_RS12490	36.7
NZ_CP082327_1_K6983_RS11965	NZ_CP034122_1_EIB18_RS16580	37.7
NZ_CP082327_1_K6983_RS16840	NZ_CP034122_1_EIB18_RS08480	54.5
NZ_CP082327_1_K6983_RS04575	NZ_CP034122_1_EIB18_RS09160	58.9
NZ_CP082327_1_K6983_RS19145	NZ_CP034122_1_EIB18_RS15035	51.5
NZ_CP082327_1_K6983_RS19145	NZ_CP034122_1_EIB18_RS10060	28.9
NZ_CP082327_1_K6983_RS03730	NZ_CP034122_1_EIB18_RS00240	33.8
NZ_CP082327_1_K6983_RS07990	NZ_CP034122_1_EIB18_RS12845	42.1
NZ_CP082327_1_K6983_RS07990	NZ_CP034122_1_EIB18_RS12635	51.6
NZ_CP082327_1_K6983_RS07990	NZ_CP034122_1_EIB18_RS00835	51.9
NZ_CP082327_1_K6983_RS07990	NZ_CP034122_1_EIB18_RS07945	37.5
NZ_CP082327_1_K6983_RS11845	NZ_CP034122_1_EIB18_RS16490	45.5
NZ_CP082327_1_K6983_RS15110	NZ_CP034122_1_EIB18_RS09710	31.9
NZ_CP082327_1_K6983_RS08485	NZ_CP034122_1_EIB18_RS14565	38.3
NZ_CP082327_1_K6983_RS21190	NZ_CP034122_1_EIB18_RS09975	45.6
NZ_CP082327_1_K6983_RS06400	NZ_CP034122_1_EIB18_RS07395	50.8
NZ_CP082327_1_K6983_RS06965	NZ_CP034122_1_EIB18_RS15325	31.8
NZ_CP082327_1_K6983_RS13370	NZ_CP034122_1_EIB18_RS14845	74.3
NZ_CP082327_1_K6983_RS19815	NZ_CP034122_1_EIB18_RS11895	37.3
NZ_CP082327_1_K6983_RS09750	NZ_CP034122_1_EIB18_RS05625	52.6
NZ_CP082327_1_K6983_RS06815	NZ_CP034122_1_EIB18_RS10315	26.0
NZ_CP082327_1_K6983_RS15380	NZ_CP034122_1_EIB18_RS00255	30.4
NZ_CP082327_1_K6983_RS12615	NZ_CP034122_1_EIB18_RS13070	25.8
NZ_CP082327_1_K6983_RS05605	NZ_CP034122_1_EIB18_RS02130	24.3
NZ_CP082327_1_K6983_RS04975	NZ_CP034122_1_EIB18_RS17595	30.0
NZ_CP082327_1_K6983_RS22195	NZ_CP034122_1_EIB18_RS05465	35.1
NZ_CP082327_1_K6983_RS22195	NZ_CP034122_1_EIB18_RS19110	26.3
NZ_CP082327_1_K6983_RS22195	NZ_CP034122_1_EIB18_RS03960	27.7
NZ_CP082327_1_K6983_RS05815	NZ_CP034122_1_EIB18_RS09090	35.4
NZ_CP082327_1_K6983_RS01085	NZ_CP034122_1_EIB18_RS05910	31.8
NZ_CP082327_1_K6983_RS00010	NZ_CP034122_1_EIB18_RS00785	37.3
NZ_CP082327_1_K6983_RS14760	NZ_CP034122_1_EIB18_RS00090	33.5
NZ_CP082327_1_K6983_RS10100	NZ_CP034122_1_EIB18_RS11520	30.4
NZ_CP082327_1_K6983_RS10100	NZ_CP034122_1_EIB18_RS00400	27.2
NZ_CP082327_1_K6983_RS10100	NZ_CP034122_1_EIB18_RS09595	25.6
NZ_CP082327_1_K6983_RS10100	NZ_CP034122_1_EIB18_RS09600	24.4
NZ_CP082327_1_K6983_RS08490	NZ_CP034122_1_EIB18_RS14570	52.0
NZ_CP082327_1_K6983_RS18455	NZ_CP034122_1_EIB18_RS01425	59.8
NZ_CP082327_1_K6983_RS04710	NZ_CP034122_1_EIB18_RS07930	74.2
NZ_CP082327_1_K6983_RS05740	NZ_CP034122_1_EIB18_RS04570	57.6
NZ_CP082327_1_K6983_RS15070	NZ_CP034122_1_EIB18_RS10110	65.3
NZ_CP082327_1_K6983_RS15070	NZ_CP034122_1_EIB18_RS19270	28.5
NZ_CP082327_1_K6983_RS18650	NZ_CP034122_1_EIB18_RS17850	39.8
NZ_CP082327_1_K6983_RS18650	NZ_CP034122_1_EIB18_RS11905	34.9
NZ_CP082327_1_K6983_RS18415	NZ_CP034122_1_EIB18_RS10175	43.7
NZ_CP082327_1_K6983_RS19115	NZ_CP034122_1_EIB18_RS18860	29.7
NZ_CP082327_1_K6983_RS19115	NZ_CP034122_1_EIB18_RS12330	27.6
NZ_CP082327_1_K6983_RS02015	NZ_CP034122_1_EIB18_RS06725	63.9
NZ_CP082327_1_K6983_RS18400	NZ_CP034122_1_EIB18_RS10155	28.9
NZ_CP082327_1_K6983_RS01985	NZ_CP034122_1_EIB18_RS06695	50.0
NZ_CP082327_1_K6983_RS04650	NZ_CP034122_1_EIB18_RS16230	35.4
NZ_CP082327_1_K6983_RS16710	NZ_CP034122_1_EIB18_RS09430	43.1
NZ_CP082327_1_K6983_RS18660	NZ_CP034122_1_EIB18_RS18895	50.2
NZ_CP082327_1_K6983_RS22320	NZ_CP034122_1_EIB18_RS00705	41.0
NZ_CP082327_1_K6983_RS21465	NZ_CP034122_1_EIB18_RS01750	36.3
NZ_CP082327_1_K6983_RS21465	NZ_CP034122_1_EIB18_RS09790	29.2
NZ_CP082327_1_K6983_RS14965	NZ_CP034122_1_EIB18_RS17120	29.6
NZ_CP082327_1_K6983_RS21015	NZ_CP034122_1_EIB18_RS01130	44.8
NZ_CP082327_1_K6983_RS00430	NZ_CP034122_1_EIB18_RS07665	41.3
NZ_CP082327_1_K6983_RS00430	NZ_CP034122_1_EIB18_RS00465	23.8
NZ_CP082327_1_K6983_RS00430	NZ_CP034122_1_EIB18_RS06175	26.3
NZ_CP082327_1_K6983_RS17020	NZ_CP034122_1_EIB18_RS07210	45.0
NZ_CP082327_1_K6983_RS14905	NZ_CP034122_1_EIB18_RS01530	37.8
NZ_CP082327_1_K6983_RS12500	NZ_CP034122_1_EIB18_RS02635	55.9
NZ_CP082327_1_K6983_RS04750	NZ_CP034122_1_EIB18_RS10610	41.7
NZ_CP082327_1_K6983_RS22095	NZ_CP034122_1_EIB18_RS19495	38.5
NZ_CP082327_1_K6983_RS21545	NZ_CP034122_1_EIB18_RS10040	39.2
NZ_CP082327_1_K6983_RS19150	NZ_CP034122_1_EIB18_RS18800	40.8
