AP018499.1_LLCC_1613	AL157959.1_NMA1247	40.0
AP018499.1_LLCC_1613	AL157959.1_NMA0477	33.6
AP018499.1_LLCC_2377	AL157959.1_NMA1275	36.5
AP018499.1_LLCC_0413	AL157959.1_NMA1570	46.8
AP018499.1_LLCC_1820	AL157959.1_NMA2026	39.4
AP018499.1_LLCC_1363	AL157959.1_NMA1538	26.1
AP018499.1_LLCC_2298	AL157959.1_NMA0952	29.4
AP018499.1_LLCC_0196	AL157959.1_NMA2060	31.0
AP018499.1_LLCC_0488	AL157959.1_NMA0595	33.0
AP018499.1_LLCC_2303	AL157959.1_NMA1473	36.5
AP018499.1_LLCC_0395	AL157959.1_NMA1522	36.2
AP018499.1_LLCC_1430	AL157959.1_NMA1692	39.8
AP018499.1_LLCC_0574	AL157959.1_NMA0027	23.1
AP018499.1_LLCC_2188	AL157959.1_NMA0997	27.1
AP018499.1_LLCC_0487	AL157959.1_NMA0528	22.8
AP018499.1_LLCC_0663	AL157959.1_NMA2128	40.0
AP018499.1_LLCC_2291	AL157959.1_NMA2066	33.4
AP018499.1_LLCC_1053	AL157959.1_NMA0163	37.3
AP018499.1_LLCC_1464	AL157959.1_NMA1124	38.4
AP018499.1_LLCC_0818	AL157959.1_NMA0109	36.1
AP018499.1_LLCC_1623	AL157959.1_NMA0879	34.9
AP018499.1_LLCC_1087	AL157959.1_NMA0162	28.0
AP018499.1_LLCC_1087	AL157959.1_NMA1563	35.7
AP018499.1_LLCC_1897	AL157959.1_NMA1270	47.8
AP018499.1_LLCC_0378	AL157959.1_NMA0189	45.4
AP018499.1_LLCC_0378	AL157959.1_NMA0204	45.4
AP018499.1_LLCC_0378	AL157959.1_NMA0203	25.9
AP018499.1_LLCC_0378	AL157959.1_NMA1037	21.3
AP018499.1_LLCC_0496	AL157959.1_NMA0508	40.8
AP018499.1_LLCC_1483	AL157959.1_NMA0608	41.7
AP018499.1_LLCC_1483	AL157959.1_NMA1163	28.8
AP018499.1_LLCC_0414	AL157959.1_NMA1568	48.1
