NZ_CP082327_1_K6983_RS18805	AL157959_1_NMA0263	49.7
NZ_CP082327_1_K6983_RS04410	AL157959_1_NMA1704	50.6
NZ_CP082327_1_K6983_RS04375	AL157959_1_NMA1401	35.4
NZ_CP082327_1_K6983_RS06650	AL157959_1_NMA0880	60.5
NZ_CP082327_1_K6983_RS04625	AL157959_1_NMA0241	32.9
NZ_CP082327_1_K6983_RS19975	AL157959_1_NMA1694	25.1
NZ_CP082327_1_K6983_RS02825	AL157959_1_NMA0342	44.4
NZ_CP082327_1_K6983_RS16940	AL157959_1_NMA0215	31.2
NZ_CP082327_1_K6983_RS22450	AL157959_1_NMA0513	46.6
NZ_CP082327_1_K6983_RS12085	AL157959_1_NMA1033	55.6
NZ_CP082327_1_K6983_RS15040	AL157959_1_NMA1149	52.1
NZ_CP082327_1_K6983_RS21995	AL157959_1_NMA1140	54.9
NZ_CP082327_1_K6983_RS13695	AL157959_1_NMA1579	46.8
NZ_CP082327_1_K6983_RS13695	AL157959_1_NMA2030	38.1
NZ_CP082327_1_K6983_RS02615	AL157959_1_NMA2161	53.4
NZ_CP082327_1_K6983_RS02615	AL157959_1_NMA2226	33.5
NZ_CP082327_1_K6983_RS02085	AL157959_1_NMA0109	56.6
NZ_CP082327_1_K6983_RS15495	AL157959_1_NMA2219	40.9
NZ_CP082327_1_K6983_RS12200	AL157959_1_NMA0904	54.5
NZ_CP082327_1_K6983_RS18420	AL157959_1_NMA0083	56.8
NZ_CP082327_1_K6983_RS18920	AL157959_1_NMA1270	46.9
NZ_CP082327_1_K6983_RS05470	AL157959_1_NMA0888	49.1
NZ_CP082327_1_K6983_RS05770	AL157959_1_NMA1575	39.7
NZ_CP082327_1_K6983_RS14785	AL157959_1_NMA2013	36.1
NZ_CP082327_1_K6983_RS04755	AL157959_1_NMA0572	38.1
NZ_CP082327_1_K6983_RS10115	AL157959_1_NMA2129	29.6
NZ_CP082327_1_K6983_RS11885	AL157959_1_NMA2093	47.7
NZ_CP082327_1_K6983_RS11885	AL157959_1_NMA2097	46.3
NZ_CP082327_1_K6983_RS18390	AL157959_1_NMA0087	34.6
NZ_CP082327_1_K6983_RS03825	AL157959_1_NMA0663	68.9
NZ_CP082327_1_K6983_RS07570	AL157959_1_NMA0962	40.5
NZ_CP082327_1_K6983_RS07570	AL157959_1_NMA1095	29.5
NZ_CP082327_1_K6983_RS00295	AL157959_1_NMA1919	49.7
NZ_CP082327_1_K6983_RS00005	AL157959_1_NMA0552	41.7
NZ_CP082327_1_K6983_RS16845	AL157959_1_NMA0599	56.4
NZ_CP082327_1_K6983_RS02430	AL157959_1_NMA0498	45.8
NZ_CP082327_1_K6983_RS18715	AL157959_1_NMA1555	52.5
NZ_CP082327_1_K6983_RS18715	AL157959_1_NMA1150	32.8
