locus;presence;unique
NZ_CP021325_1_CA173_RS15085;16.666666666666664;False
NZ_CP021325_1_CA173_RS08795;94.44444444444444;False
NZ_CP021325_1_CA173_RS03915;5.555555555555555;True
NZ_CP021325_1_CA173_RS11250;16.666666666666664;True
NZ_CP021325_1_CA173_RS03770;55.55555555555556;False
NZ_CP021325_1_CA173_RS06485;72.22222222222221;True
NZ_CP021325_1_CA173_RS13185;11.11111111111111;True
NZ_CP021325_1_CA173_RS06010;5.555555555555555;True
NZ_CP021325_1_CA173_RS14175;94.44444444444444;True
NZ_CP021325_1_CA173_RS07480;11.11111111111111;True
NZ_CP021325_1_CA173_RS11625;38.88888888888889;True
NZ_CP021325_1_CA173_RS03560;11.11111111111111;True
NZ_CP021325_1_CA173_RS03205;5.555555555555555;True
NZ_CP021325_1_CA173_RS01875;33.33333333333333;False
NZ_CP021325_1_CA173_RS01350;27.77777777777778;False
NZ_CP021325_1_CA173_RS03910;27.77777777777778;True
NZ_CP021325_1_CA173_RS06195;11.11111111111111;True
NZ_CP021325_1_CA173_RS00565;5.555555555555555;True
NZ_CP021325_1_CA173_RS13660;94.44444444444444;True
NZ_CP021325_1_CA173_RS13680;66.66666666666666;False
NZ_CP021325_1_CA173_RS09015;50.0;True
NZ_CP021325_1_CA173_RS12445;16.666666666666664;False
NZ_CP021325_1_CA173_RS04135;16.666666666666664;True
NZ_CP021325_1_CA173_RS02670;16.666666666666664;False
NZ_CP021325_1_CA173_RS06050;11.11111111111111;True
NZ_CP021325_1_CA173_RS12895;16.666666666666664;True
NZ_CP021325_1_CA173_RS08345;11.11111111111111;True
NZ_CP021325_1_CA173_RS14040;100.0;True
NZ_CP021325_1_CA173_RS08170;5.555555555555555;True
NZ_CP021325_1_CA173_RS10465;11.11111111111111;True
NZ_CP021325_1_CA173_RS02340;11.11111111111111;True
NZ_CP021325_1_CA173_RS01220;100.0;False
NZ_CP021325_1_CA173_RS00055;16.666666666666664;True
NZ_CP021325_1_CA173_RS10975;11.11111111111111;True
NZ_CP021325_1_CA173_RS04780;22.22222222222222;False
NZ_CP021325_1_CA173_RS12540;22.22222222222222;False
NZ_CP021325_1_CA173_RS14380;5.555555555555555;True
NZ_CP021325_1_CA173_RS09795;5.555555555555555;True
NZ_CP021325_1_CA173_RS11185;94.44444444444444;True
NZ_CP021325_1_CA173_RS08305;100.0;False
NZ_CP021325_1_CA173_RS03270;11.11111111111111;True
NZ_CP021325_1_CA173_RS14990;11.11111111111111;False
NZ_CP021325_1_CA173_RS09180;16.666666666666664;True
NZ_CP021325_1_CA173_RS07365;11.11111111111111;True
NZ_CP021325_1_CA173_RS00440;5.555555555555555;True
NZ_CP021325_1_CA173_RS11685;38.88888888888889;False
NZ_CP021325_1_CA173_RS13370;38.88888888888889;True
NZ_CP021325_1_CA173_RS01650;11.11111111111111;True
NZ_CP021325_1_CA173_RS00390;77.77777777777779;False
NZ_CP021325_1_CA173_RS06245;27.77777777777778;True
NZ_CP021325_1_CA173_RS08370;11.11111111111111;True
NZ_CP021325_1_CA173_RS00950;27.77777777777778;True
NZ_CP021325_1_CA173_RS14365;16.666666666666664;True
NZ_CP021325_1_CA173_RS08955;72.22222222222221;False
NZ_CP021325_1_CA173_RS13320;61.111111111111114;True
NZ_CP021325_1_CA173_RS11950;22.22222222222222;True
NZ_CP021325_1_CA173_RS07240;55.55555555555556;True
NZ_CP021325_1_CA173_RS08415;100.0;False
NZ_CP021325_1_CA173_RS02755;44.44444444444444;False
NZ_CP021325_1_CA173_RS01945;5.555555555555555;True
