locus;presence;unique
NZ_CP082327_1_K6983_RS13060;38.88888888888889;True
NZ_CP082327_1_K6983_RS04380;33.33333333333333;True
NZ_CP082327_1_K6983_RS07975;33.33333333333333;False
NZ_CP082327_1_K6983_RS12565;16.666666666666664;True
NZ_CP082327_1_K6983_RS21325;33.33333333333333;True
NZ_CP082327_1_K6983_RS22220;44.44444444444444;False
NZ_CP082327_1_K6983_RS20855;22.22222222222222;True
NZ_CP082327_1_K6983_RS00905;22.22222222222222;True
NZ_CP082327_1_K6983_RS07280;22.22222222222222;False
NZ_CP082327_1_K6983_RS12545;44.44444444444444;True
NZ_CP082327_1_K6983_RS21985;33.33333333333333;False
NZ_CP082327_1_K6983_RS05530;77.77777777777779;False
NZ_CP082327_1_K6983_RS17770;16.666666666666664;True
NZ_CP082327_1_K6983_RS13825;16.666666666666664;True
NZ_CP082327_1_K6983_RS21060;16.666666666666664;True
NZ_CP082327_1_K6983_RS07875;27.77777777777778;True
NZ_CP082327_1_K6983_RS17970;5.555555555555555;True
NZ_CP082327_1_K6983_RS15095;22.22222222222222;True
NZ_CP082327_1_K6983_RS05605;38.88888888888889;False
NZ_CP082327_1_K6983_RS17145;11.11111111111111;False
NZ_CP082327_1_K6983_RS22025;27.77777777777778;False
NZ_CP082327_1_K6983_RS02570;22.22222222222222;True
NZ_CP082327_1_K6983_RS03090;27.77777777777778;False
NZ_CP082327_1_K6983_RS06580;50.0;False
NZ_CP082327_1_K6983_RS21600;11.11111111111111;True
NZ_CP082327_1_K6983_RS07120;11.11111111111111;True
NZ_CP082327_1_K6983_RS02830;16.666666666666664;False
NZ_CP082327_1_K6983_RS09585;22.22222222222222;False
NZ_CP082327_1_K6983_RS16355;16.666666666666664;True
NZ_CP082327_1_K6983_RS19545;22.22222222222222;False
NZ_CP082327_1_K6983_RS00305;44.44444444444444;False
NZ_CP082327_1_K6983_RS03295;44.44444444444444;False
NZ_CP082327_1_K6983_RS04240;11.11111111111111;True
NZ_CP082327_1_K6983_RS09410;16.666666666666664;True
NZ_CP082327_1_K6983_RS18235;16.666666666666664;True
NZ_CP082327_1_K6983_RS22035;16.666666666666664;True
NZ_CP082327_1_K6983_RS12840;5.555555555555555;True
NZ_CP082327_1_K6983_RS08805;11.11111111111111;False
NZ_CP082327_1_K6983_RS09400;16.666666666666664;True
NZ_CP082327_1_K6983_RS20705;22.22222222222222;False
NZ_CP082327_1_K6983_RS15470;33.33333333333333;True
NZ_CP082327_1_K6983_RS18805;50.0;True
NZ_CP082327_1_K6983_RS11790;22.22222222222222;False
NZ_CP082327_1_K6983_RS03800;44.44444444444444;True
NZ_CP082327_1_K6983_RS13270;27.77777777777778;False
NZ_CP082327_1_K6983_RS21770;11.11111111111111;True
NZ_CP082327_1_K6983_RS13415;22.22222222222222;True
NZ_CP082327_1_K6983_RS15040;61.111111111111114;True
NZ_CP082327_1_K6983_RS03350;72.22222222222221;False
NZ_CP082327_1_K6983_RS03360;22.22222222222222;True
NZ_CP082327_1_K6983_RS19000;44.44444444444444;True
NZ_CP082327_1_K6983_RS10680;16.666666666666664;True
NZ_CP082327_1_K6983_RS10115;55.55555555555556;False
NZ_CP082327_1_K6983_RS15100;16.666666666666664;True
NZ_CP082327_1_K6983_RS17450;5.555555555555555;True
NZ_CP082327_1_K6983_RS06335;38.88888888888889;False
NZ_CP082327_1_K6983_RS01080;83.33333333333334;False
NZ_CP082327_1_K6983_RS01815;16.666666666666664;True
NZ_CP082327_1_K6983_RS04655;33.33333333333333;True
NZ_CP082327_1_K6983_RS14515;38.88888888888889;False
NZ_CP082327_1_K6983_RS16205;11.11111111111111;True
NZ_CP082327_1_K6983_RS20225;27.77777777777778;True
NZ_CP082327_1_K6983_RS04985;100.0;False
NZ_CP082327_1_K6983_RS05525;83.33333333333334;True
NZ_CP082327_1_K6983_RS01490;16.666666666666664;True
NZ_CP082327_1_K6983_RS16410;38.88888888888889;True
NZ_CP082327_1_K6983_RS17315;38.88888888888889;False
NZ_CP082327_1_K6983_RS16255;33.33333333333333;True
NZ_CP082327_1_K6983_RS19945;27.77777777777778;False
NZ_CP082327_1_K6983_RS20630;11.11111111111111;True
NZ_CP082327_1_K6983_RS21745;22.22222222222222;False
NZ_CP082327_1_K6983_RS04705;16.666666666666664;True
NZ_CP082327_1_K6983_RS01740;72.22222222222221;False
NZ_CP082327_1_K6983_RS00370;33.33333333333333;True
NZ_CP082327_1_K6983_RS05445;16.666666666666664;True
NZ_CP082327_1_K6983_RS21160;55.55555555555556;False
NZ_CP082327_1_K6983_RS00430;77.77777777777779;False
NZ_CP082327_1_K6983_RS17965;5.555555555555555;True
NZ_CP082327_1_K6983_RS11785;5.555555555555555;True
NZ_CP082327_1_K6983_RS22480;94.44444444444444;False
NZ_CP082327_1_K6983_RS19855;66.66666666666666;True
NZ_CP082327_1_K6983_RS18360;83.33333333333334;True
NZ_CP082327_1_K6983_RS11805;22.22222222222222;True
NZ_CP082327_1_K6983_RS19490;16.666666666666664;True
NZ_CP082327_1_K6983_RS19420;27.77777777777778;True
NZ_CP082327_1_K6983_RS03385;22.22222222222222;True
NZ_CP082327_1_K6983_RS12160;72.22222222222221;False
NZ_CP082327_1_K6983_RS05955;16.666666666666664;True
NZ_CP082327_1_K6983_RS06090;22.22222222222222;True
NZ_CP082327_1_K6983_RS00665;16.666666666666664;True
NZ_CP082327_1_K6983_RS22120;77.77777777777779;False
NZ_CP082327_1_K6983_RS04130;11.11111111111111;False
NZ_CP082327_1_K6983_RS11150;22.22222222222222;False
NZ_CP082327_1_K6983_RS09300;27.77777777777778;True
NZ_CP082327_1_K6983_RS17940;5.555555555555555;True
NZ_CP082327_1_K6983_RS02590;22.22222222222222;True
NZ_CP082327_1_K6983_RS14470;27.77777777777778;True
NZ_CP082327_1_K6983_RS00910;22.22222222222222;True
NZ_CP082327_1_K6983_RS16715;61.111111111111114;False
NZ_CP082327_1_K6983_RS07085;5.555555555555555;True
